drug_name	active_ingredients
ADVIL COLD AND SINUS	IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE
PRINZIDE	HYDROCHLOROTHIAZIDE; LISINOPRIL
NULYTELY	POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE
NULYTELY-FLAVORED	POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE
SEMPREX-D	ACRIVASTINE; PSEUDOEPHEDRINE HYDROCHLORIDE
KERLEDEX	BETAXOLOL HYDROCHLORIDE; CHLORTHALIDONE
ISOLYTE S IN DEXTROSE 5% IN PLASTIC CONTAINER	DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE
ISOLYTE H IN DEXTROSE 5% IN PLASTIC CONTAINER	DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE
SINEMET CR	CARBIDOPA; LEVODOPA
ISOLYTE R IN DEXTROSE 5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE
ISOLYTE E IN DEXTROSE 5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM CITRATE
ISOLYTE M IN DEXTROSE 5% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
ISOLYTE P IN DEXTROSE 5% IN PLASTIC CONTAINER	DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE
ZESTORETIC	HYDROCHLOROTHIAZIDE; LISINOPRIL
SINE-AID IB	IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE
EMLA	LIDOCAINE; PRILOCAINE
LOTENSIN HCT	BENAZEPRIL HYDROCHLORIDE; HYDROCHLOROTHIAZIDE
EXOSURF NEONATAL	CETYL ALCOHOL; COLFOSCERIL PALMITATE; TYLOXAPOL
SHADE UVAGUARD	AVOBENZONE; OCTINOXATE; OXYBENZONE
MACROBID	NITROFURANTOIN; NITROFURANTOIN, MACROCRYSTALLINE
OPCON-A	NAPHAZOLINE HYDROCHLORIDE; PHENIRAMINE MALEATE
DESOGEN	DESOGESTREL; ETHINYL ESTRADIOL
METHOTREXATE SODIUM	CALCIUM CHLORIDE; DEXTROSE; GLUTATHIONE DISULFIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE
HUMULIN 50/50	INSULIN RECOMBINANT HUMAN; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN
ACCURETIC	HYDROCHLOROTHIAZIDE; QUINAPRIL HYDROCHLORIDE
ESTROSTEP 21	ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
ESTROSTEP FE	ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
TRAVASOL 2.75% SULFITE FREE W/ ELECTROLYTES IN DEXTROSE 5% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
TRAVASOL 2.75% SULFITE FREE W/ ELECTROLYTES IN DEXTROSE 10% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
TRAVASOL 2.75% SULFITE FREE W/ ELECTROLYTES IN DEXTROSE 15% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
TRAVASOL 2.75% SULFITE FREE W/ ELECTROLYTES IN DEXTROSE 20% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
TRAVASOL 2.75% SULFITE FREE W/ ELECTROLYTES IN DEXTROSE 25% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
TRAVASOL 4.25% SULFITE FREE W/ ELECTROLYTES IN DEXTROSE 5% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
TRAVASOL 4.25% SULFITE FREE W/ ELECTROLYTES IN DEXTROSE 10% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
TRAVASOL 4.25% SULFITE FREE W/ ELECTROLYTES IN DEXTROSE 15% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
TRAVASOL 4.25% SULFITE FREE W/ ELECTROLYTES IN DEXTROSE 20% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
TRAVASOL 4.25% SULFITE FREE W/ ELECTROLYTES IN DEXTROSE 25% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
DELFLEX W/ DEXTROSE 1.5% LOW MAGNESIUM LOW CALCIUM IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
DELFLEX W/ DEXTROSE 2.5% LOW MAGNESIUM LOW CALCIUM IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
DELFLEX W/ DEXTROSE 4.25% LOW MAGNESIUM LOW CALCIUM IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
TRAVASOL 5.5% SULFITE FREE W/ ELECTROLYTES IN PLASTIC CONTAINER	AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
TRAVASOL 8.5% SULFITE FREE W/ ELECTROLYTES IN PLASTIC CONTAINER	AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
VITAPED	ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PANTOTHENIC ACID; PHYTONADIONE; PYRIDOXINE; RIBOFLAVIN; THIAMINE; VITAMIN A PALMITATE; VITAMIN E
TRAVASOL 3.5% SULFITE FREE W/ ELECTROLYTES IN PLASTIC CONTAINER	AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
DIANEAL LOW CALCIUM W/ DEXTROSE 1.5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
DIANEAL LOW CALCIUM W/ DEXTROSE 2.5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
DIANEAL LOW CALCIUM W/ DEXTROSE 3.5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
DIANEAL LOW CALCIUM W/ DEXTROSE 4.25% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
ZIAC	BISOPROLOL FUMARATE; HYDROCHLOROTHIAZIDE
NAPHCON-A	NAPHAZOLINE HYDROCHLORIDE; PHENIRAMINE MALEATE
COLGATE TOTAL	SODIUM FLUORIDE; TRICLOSAN
FIORICET W/ CODEINE	ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE
MONOPRIL-HCT	FOSINOPRIL SODIUM; HYDROCHLOROTHIAZIDE
COMBIVENT	ALBUTEROL SULFATE; IPRATROPIUM BROMIDE
ORTHO-CEPT	DESOGESTREL; ETHINYL ESTRADIOL
PREMPRO (PREMARIN;CYCRIN)	ESTROGENS, CONJUGATED; MEDROXYPROGESTERONE ACETATE
PREMPHASE (PREMARIN;CYCRIN 14/14)	ESTROGENS, CONJUGATED; MEDROXYPROGESTERONE ACETATE
HUMEGON	MENOTROPINS (FSH;LH)
LOTREL	AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE
INPERSOL-LC/LM W/ DEXTROSE 1.5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
INPERSOL-LC/LM W/ DEXTROSE 2.5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
INPERSOL-LC/LM W/ DEXTROSE 3.5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
INPERSOL-LC/LM W/ DEXTROSE 4.25% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
HYZAAR	HYDROCHLOROTHIAZIDE; LOSARTAN POTASSIUM
CLARITIN-D 24 HOUR	LORATADINE; PSEUDOEPHEDRINE SULFATE
VISINE	NAPHAZOLINE HYDROCHLORIDE; PHENIRAMINE MALEATE
TECZEM	DILTIAZEM MALATE; ENALAPRIL MALEATE
PREMPRO	ESTROGENS, CONJUGATED; MEDROXYPROGESTERONE ACETATE
PREMPHASE 14/14	ESTROGENS, CONJUGATED; MEDROXYPROGESTERONE ACETATE
IONTOCAINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
ELLIOTTS B SOLUTION	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM SULFATE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE
COTAZYM	PANCRELIPASE (AMYLASE;LIPASE;PROTEASE)
TARKA	TRANDOLAPRIL; VERAPAMIL HYDROCHLORIDE
IMODIUM MULTI-SYMPTOM RELIEF	LOPERAMIDE HYDROCHLORIDE; SIMETHICONE
ARTHROTEC	DICLOFENAC SODIUM; MISOPROSTOL
BETOPTIC PILO	BETAXOLOL HYDROCHLORIDE; PILOCARPINE HYDROCHLORIDE
AMMONUL	SODIUM BENZOATE; SODIUM PHENYLACETATE
LEXXEL	ENALAPRIL MALEATE; FELODIPINE
CLINIMIX E 2.75/5 SULFITE FREE W/ ELECT IN DEXTROSE 5% W/ CALCIUM IN PLASTIC CONTAINER	AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
CLINIMIX E 2.75/10 SULFITE FREE W/ ELECT IN DEXTROSE 10% W/ CALCIUM IN PLASTIC CONTAINER	AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
CLINIMIX E 2.75/25 SULFITE FREE W/ ELECT IN DEXTROSE 25% W/ CALCIUM IN PLASTIC CONTAINER	AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
CLINIMIX E 4.25/5 SULFITE FREE W/ ELECT IN DEXTROSE 5% W/ CALCIUM IN PLASTIC CONTAINER	AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
CLINIMIX E 4.25/10 SULFITE FREE W/ ELECT IN DEXTROSE 10% W/ CALCIUM IN PLASTIC CONTAINER	AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
CLINIMIX E 4.25/20 SULFITE FREE W/ ELECT IN DEXTROSE 20% W/ CALCIUM IN PLASTIC CONTAINER	AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
CLINIMIX E 4.25/25 SULFITE FREE W/ ELECT IN DEXTROSE 25% W/ CALCIUM IN PLASTIC CONTAINER	AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
CLINIMIX E 5/10 SULFITE FREE W/ ELECT IN DEXTROSE 10% W/ CALCIUM IN PLASTIC CONTAINER	AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
CLINIMIX E 5/15 SULFITE FREE W/ ELECT IN DEXTROSE 15% W/ CALCIUM IN PLASTIC CONTAINER	AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
CLINIMIX E 5/20 SULFITE FREE W/ ELECT IN 20% DEXTROSE W/ CALCIUM IN PLASTIC CONTAINER	AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
CLINIMIX E 5/25 SULFITE FREE W/ ELECT IN DEXTROSE 25% W/ CALCIUM IN PLASTIC CONTAINER	AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
CLINIMIX E 5/35 SULFITE FREE W/ ELECT IN DEXTROSE 35% W/ CALCIUM IN PLASTIC CONTAINER	AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
ALESSE	ETHINYL ESTRADIOL; LEVONORGESTREL
MIRCETTE	DESOGESTREL; ETHINYL ESTRADIOL
VICOPROFEN	HYDROCODONE BITARTRATE; IBUPROFEN
CREON	PANCRELIPASE (AMYLASE;LIPASE;PROTEASE)
BIDIL	HYDRALAZINE HYDROCHLORIDE; ISOSORBIDE DINITRATE
UNIRETIC	HYDROCHLOROTHIAZIDE; MOEXIPRIL HYDROCHLORIDE
SUBOXONE	BUPRENORPHINE HYDROCHLORIDE; NALOXONE HYDROCHLORIDE
CLINIMIX 2.75/5 SULFITE FREE IN DEXTROSE 5% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
CLINIMIX 2.75/10 SULFITE FREE IN DEXTROSE 10% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
CLINIMIX 2.75/25 SULFITE FREE IN DEXTROSE 25% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
CLINIMIX 4.25/5 SULFITE FREE IN DEXTROSE 5% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
CLINIMIX 4.25/10 SULFITE FREE IN DEXTROSE 10% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
CLINIMIX 4.25/20 SULFITE FREE IN DEXTROSE 20% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
CLINIMIX 4.25/25 SULFITE FREE IN DEXTROSE 25% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
CLINIMIX 5/10 SULFITE FREE IN DEXTROSE 10% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
CLINIMIX 5/15 SULFITE FREE IN DEXTROSE 15% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
CLINIMIX 5/20 SULFITE FREE IN DEXTROSE 20% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
CLINIMIX 5/25 SULFITE FREE IN DEXTROSE 25% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
CLINIMIX 5/35 SULFITE FREE IN DEXTROSE 35% IN PLASTIC CONTAINER	AMINO ACIDS; DEXTROSE
BSS	CALCIUM CHLORIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM CITRATE
AVALIDE	HYDROCHLOROTHIAZIDE; IRBESARTAN
ALLEGRA-D 12 HOUR ALLERGY AND CONGESTION	FEXOFENADINE HYDROCHLORIDE; PSEUDOEPHEDRINE HYDROCHLORIDE
EXCEDRIN (MIGRAINE)	ACETAMINOPHEN; ASPIRIN; CAFFEINE
CIPRO HC	CIPROFLOXACIN HYDROCHLORIDE; HYDROCORTISONE
DIOVAN HCT	HYDROCHLOROTHIAZIDE; VALSARTAN
CHLORAPREP ONE-STEP	CHLORHEXIDINE GLUCONATE; ISOPROPYL ALCOHOL
CHLORAPREP WITH TINT	CHLORHEXIDINE GLUCONATE; ISOPROPYL ALCOHOL
CHLORAPREP ONE-STEP FREPP	CHLORHEXIDINE GLUCONATE; ISOPROPYL ALCOHOL
COMBIVIR	LAMIVUDINE; ZIDOVUDINE
LEVLITE	ETHINYL ESTRADIOL; LEVONORGESTREL
COSOPT	DORZOLAMIDE HYDROCHLORIDE; TIMOLOL MALEATE
COMBIPATCH	ESTRADIOL; NORETHINDRONE ACETATE
LUNELLE	ESTRADIOL CYPIONATE; MEDROXYPROGESTERONE ACETATE
AGGRENOX	ASPIRIN; DIPYRIDAMOLE
ACTIVELLA	ESTRADIOL; NORETHINDRONE ACETATE
SOLAGE	MEQUINOL; TRETINOIN
PREVEN EMERGENCY CONTRACEPTIVE KIT	ETHINYL ESTRADIOL; LEVONORGESTREL
DUONEB	ALBUTEROL SULFATE; IPRATROPIUM BROMIDE
PEPCID COMPLETE	CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE
SEPTOCAINE	ARTICAINE HYDROCHLORIDE; EPINEPHRINE BITARTRATE
HUMALOG MIX 75/25	INSULIN LISPRO PROTAMINE RECOMBINANT; INSULIN LISPRO RECOMBINANT
HUMALOG MIX 75/25 KWIKPEN	INSULIN LISPRO PROTAMINE RECOMBINANT; INSULIN LISPRO RECOMBINANT
HUMALOG MIX 75/25 PEN	INSULIN LISPRO PROTAMINE RECOMBINANT; INSULIN LISPRO RECOMBINANT
HUMALOG MIX 50/50	INSULIN LISPRO PROTAMINE RECOMBINANT; INSULIN LISPRO RECOMBINANT
HUMALOG MIX 50/50 KWIKPEN	INSULIN LISPRO PROTAMINE RECOMBINANT; INSULIN LISPRO RECOMBINANT
HUMALOG MIX 50/50 PEN	INSULIN LISPRO PROTAMINE RECOMBINANT; INSULIN LISPRO RECOMBINANT
VUSION	MICONAZOLE NITRATE; PETROLATUM, WHITE; ZINC OXIDE
PREFEST	ESTRADIOL; NORGESTIMATE
RID MOUSSE	PIPERONYL BUTOXIDE; PYRETHRINS
REPRONEX	MENOTROPINS (FSH;LH)
FEMHRT	ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
AVAGARD	ALCOHOL; CHLORHEXIDINE GLUCONATE
ALEVE-D SINUS & COLD	NAPROXEN SODIUM; PSEUDOEPHEDRINE HYDROCHLORIDE
ADVAIR DISKUS 100/50	FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE
ADVAIR DISKUS 250/50	FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE
ADVAIR DISKUS 500/50	FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE
MALARONE	ATOVAQUONE; PROGUANIL HYDROCHLORIDE
MALARONE PEDIATRIC	ATOVAQUONE; PROGUANIL HYDROCHLORIDE
TAVIST ALLERGY/SINUS/HEADACHE	ACETAMINOPHEN; CLEMASTINE FUMARATE; PSEUDOEPHEDRINE HYDROCHLORIDE
SKIN EXPOSURE REDUCTION PASTE AGAINST CHEMICAL WARFARE AGENTS	PERFLUOROPOLYMETHYLISOPROPYL ETHER; POLYTETRAFLUOROETHYLENE
CYCLESSA	DESOGESTREL; ETHINYL ESTRADIOL
ATACAND HCT	CANDESARTAN CILEXETIL; HYDROCHLOROTHIAZIDE
VISICOL	SODIUM PHOSPHATE, DIBASIC ANHYDROUS; SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE
YASMIN	DROSPIRENONE; ETHINYL ESTRADIOL
SULFAMETHOXAZOLE AND TRIMETHOPRIM AND PHENAZOPYRIDINE HYDROCHLORIDE	PHENAZOPYRIDINE HYDROCHLORIDE; SULFAMETHOXAZOLE; TRIMETHOPRIM
TRI-LUMA	FLUOCINOLONE ACETONIDE; HYDROQUINONE; TRETINOIN
ULTRACET	ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE
CHILDREN'S MOTRIN COLD	IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE
ZYRTEC-D 12 HOUR	CETIRIZINE HYDROCHLORIDE; PSEUDOEPHEDRINE HYDROCHLORIDE
MICARDIS HCT	HYDROCHLOROTHIAZIDE; TELMISARTAN
INFUVITE ADULT	ALPHA-TOCOPHEROL ACETATE; ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN K
NOVOLOG MIX 70/30	INSULIN ASPART PROTAMINE RECOMBINANT; INSULIN ASPART RECOMBINANT
NOVOLOG MIX 70/30 PENFILL	INSULIN ASPART PROTAMINE RECOMBINANT; INSULIN ASPART RECOMBINANT
NOVOLOG MIX 70/30 FLEXPEN	INSULIN ASPART PROTAMINE RECOMBINANT; INSULIN ASPART RECOMBINANT
ATNAA	ATROPINE; PRALIDOXIME CHLORIDE
GLUCOVANCE	GLYBURIDE; METFORMIN HYDROCHLORIDE
ORTHO EVRA	ETHINYL ESTRADIOL; NORELGESTROMIN
NUVARING	ETHINYL ESTRADIOL; ETONOGESTREL
IMAGENT	DIMYRISTOYL LECITHIN; PERFLEXANE
TRIZIVIR	ABACAVIR SULFATE; LAMIVUDINE; ZIDOVUDINE
KALETRA	LOPINAVIR; RITONAVIR
ORTHO TRI-CYCLEN LO	ETHINYL ESTRADIOL; NORGESTIMATE
ADVAIR HFA	FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE
CLIMARA PRO	ESTRADIOL; LEVONORGESTREL
INFUVITE PEDIATRIC	ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE; RIBOFLAVIN; THIAMINE; TOCOPHEROL ACETATE; VITAMIN A; VITAMIN K
TEVETEN HCT	EPROSARTAN MESYLATE; HYDROCHLOROTHIAZIDE
ADDERALL XR 10	AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE
ADDERALL XR 20	AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE
ADDERALL XR 30	AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE
ADDERALL XR 25	AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE
ADDERALL XR 5	AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE
ADDERALL XR 15	AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE
CLARINEX-D 12 HOUR	DESLORATADINE; PSEUDOEPHEDRINE SULFATE
IDKIT:HP	CITRIC ACID; UREA C-13
ANGELIQ	DROSPIRENONE; ESTRADIOL
CODEPREX	CHLORPHENIRAMINE POLISTIREX; CODEINE POLISTIREX
CHILDREN'S ADVIL COLD	IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE
COMBUNOX	IBUPROFEN; OXYCODONE HYDROCHLORIDE
XYLOCAINE DENTAL WITH EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
CITANEST FORTE DENTAL	EPINEPHRINE BITARTRATE; PRILOCAINE HYDROCHLORIDE
PRAVIGARD PAC (COPACKAGED)	ASPIRIN; PRAVASTATIN SODIUM
ADVIL PM	DIPHENHYDRAMINE CITRATE; IBUPROFEN
COMBIGAN	BRIMONIDINE TARTRATE; TIMOLOL MALEATE
AVANDAMET	METFORMIN HYDROCHLORIDE; ROSIGLITAZONE MALEATE
ADVIL ALLERGY SINUS	CHLORPHENIRAMINE MALEATE; IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE
ORAQIX	LIDOCAINE; PRILOCAINE
METAGLIP	GLIPIZIDE; METFORMIN HYDROCHLORIDE
ANTHELIOS 20	AVOBENZONE; ECAMSULE; OCTOCRYLENE; TITANIUM DIOXIDE
CIPRO XR	CIPROFLOXACIN; CIPROFLOXACIN HYDROCHLORIDE
STALEVO 50	CARBIDOPA; ENTACAPONE; LEVODOPA
STALEVO 100	CARBIDOPA; ENTACAPONE; LEVODOPA
STALEVO 150	CARBIDOPA; ENTACAPONE; LEVODOPA
STALEVO 200	CARBIDOPA; ENTACAPONE; LEVODOPA
STALEVO 75	CARBIDOPA; ENTACAPONE; LEVODOPA
STALEVO 125	CARBIDOPA; ENTACAPONE; LEVODOPA
LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
FEMCON FE	ETHINYL ESTRADIOL; NORETHINDRONE
DUOCAINE	BUPIVACAINE HYDROCHLORIDE; LIDOCAINE HYDROCHLORIDE
CAPITAL SOLEIL 15	AVOBENZONE; ECAMSULE; OCTOCRYLENE
ANTHELIOS SX	AVOBENZONE; ECAMSULE; OCTOCRYLENE
